date,n0,n1,n2,n3,n4,n5,n6,nb,jackpot
2009-09-25,5.0,15.0,19.0,25.0,31.0,38.0,46.0,4.0,5.132894
2009-10-02,8.0,27.0,28.0,29.0,31.0,32.0,35.0,11.0,10.599404
2009-10-09,5.0,15.0,25.0,38.0,42.0,46.0,47.0,26.0,16.5845
2009-10-16,4.0,10.0,18.0,20.0,31.0,35.0,44.0,29.0,22.85156
2009-10-23,4.0,7.0,10.0,12.0,23.0,25.0,36.0,18.0,30.1663
2009-10-30,6.0,9.0,10.0,14.0,17.0,18.0,19.0,46.0,39.59145
2009-11-06,2.0,7.0,8.0,11.0,16.0,17.0,18.0,12.0,50.0
2009-11-13,8.0,18.0,27.0,28.0,38.0,41.0,48.0,36.0,7.0653186
2009-11-20,2.0,8.0,28.0,30.0,36.0,39.0,42.0,24.0,13.890004
2009-11-27,11.0,15.0,24.0,26.0,37.0,38.0,43.0,17.0,12.5
2009-12-04,1.0,6.0,13.0,19.0,32.0,35.0,40.0,7.0,5.298591
2009-12-11,1.0,4.0,5.0,7.0,22.0,29.0,48.0,13.0,10.286026
2009-12-18,8.0,10.0,15.0,17.0,33.0,34.0,35.0,13.0,16.313581
2009-12-25,8.0,9.0,12.0,13.0,29.0,30.0,31.0,47.0,23.080652
2010-01-01,7.0,9.0,13.0,18.0,27.0,33.0,44.0,15.0,29.732283
2010-01-08,8.0,17.0,21.0,23.0,24.0,28.0,39.0,31.0,20.0
2010-01-15,12.0,17.0,22.0,30.0,34.0,43.0,49.0,48.0,5.5082073
2010-01-22,17.0,26.0,30.0,32.0,34.0,39.0,41.0,49.0,10.877729
2010-01-29,16.0,17.0,22.0,24.0,40.0,41.0,47.0,45.0,16.940403
2010-02-05,10.0,19.0,25.0,29.0,39.0,41.0,42.0,21.0,23.439278
2010-02-12,9.0,12.0,17.0,23.0,34.0,42.0,47.0,37.0,31.299612
2010-02-19,4.0,23.0,27.0,32.0,35.0,43.0,47.0,24.0,42.317604
2010-02-26,2.0,27.0,30.0,32.0,35.0,36.0,38.0,39.0,25.0
2010-03-05,5.0,8.0,18.0,22.0,32.0,39.0,45.0,19.0,9.5
2010-03-12,17.0,18.0,19.0,21.0,32.0,40.0,49.0,6.0,10.0
2010-03-19,1.0,3.0,6.0,34.0,37.0,42.0,45.0,27.0,4.7798285
2010-03-26,3.0,11.0,12.0,16.0,34.0,36.0,37.0,18.0,10.353217
2010-04-02,4.0,9.0,12.0,15.0,28.0,29.0,43.0,17.0,16.279093
2010-04-09,11.0,16.0,29.0,30.0,31.0,33.0,42.0,24.0,22.79161
2010-04-16,6.0,7.0,17.0,20.0,32.0,44.0,49.0,46.0,30.694597
2010-04-23,8.0,11.0,16.0,21.0,24.0,28.0,41.0,37.0,41.716534
2010-04-30,1.0,3.0,4.0,5.0,16.0,32.0,33.0,41.0,5.6803346
2010-05-07,3.0,6.0,10.0,14.0,19.0,25.0,33.0,1.0,11.270597
2010-05-14,7.0,17.0,19.0,23.0,31.0,36.0,41.0,1.0,17.609022
2010-05-21,14.0,16.0,30.0,35.0,36.0,45.0,49.0,10.0,25.983612
2010-05-28,11.0,18.0,23.0,24.0,27.0,28.0,39.0,1.0,35.995575
2010-06-04,3.0,18.0,27.0,30.0,33.0,40.0,45.0,31.0,50.0
2010-06-11,2.0,7.0,12.0,25.0,29.0,32.0,35.0,26.0,50.0
2010-06-18,5.0,6.0,26.0,29.0,34.0,36.0,43.0,49.0,50.0
2010-06-25,5.0,22.0,28.0,31.0,39.0,46.0,48.0,4.0,25.0
2010-07-02,9.0,19.0,25.0,26.0,29.0,30.0,44.0,33.0,33.235836
2010-07-09,9.0,10.0,19.0,24.0,28.0,30.0,31.0,46.0,46.591732
2010-07-16,10.0,14.0,26.0,34.0,43.0,47.0,48.0,28.0,50.0
2010-07-23,17.0,19.0,26.0,29.0,34.0,35.0,38.0,47.0,50.0
2010-07-30,5.0,7.0,11.0,40.0,41.0,47.0,48.0,6.0,50.0
2010-08-06,1.0,5.0,6.0,32.0,36.0,38.0,44.0,29.0,50.0
2010-08-13,19.0,25.0,27.0,29.0,30.0,36.0,46.0,15.0,25.0
2010-08-20,4.0,5.0,7.0,8.0,18.0,30.0,35.0,39.0,37.594692
2010-08-27,3.0,14.0,26.0,27.0,29.0,32.0,34.0,1.0,10.0
2010-09-03,12.0,17.0,27.0,28.0,31.0,36.0,48.0,37.0,7.493043
2010-09-10,4.0,17.0,27.0,32.0,34.0,39.0,47.0,13.0,15.074725
2010-09-17,2.0,5.0,6.0,43.0,46.0,47.0,48.0,39.0,23.350285
2010-09-24,9.0,22.0,25.0,30.0,31.0,39.0,42.0,19.0,7.1108785
2010-10-01,10.0,12.0,13.0,25.0,28.0,29.0,41.0,39.0,14.257419
2010-10-08,3.0,4.0,5.0,8.0,13.0,22.0,33.0,32.0,22.168306
2010-10-15,3.0,14.0,17.0,25.0,30.0,33.0,39.0,7.0,31.472826
2010-10-22,12.0,15.0,19.0,20.0,28.0,29.0,39.0,14.0,43.76264
2010-10-29,2.0,6.0,21.0,26.0,28.0,33.0,47.0,11.0,50.0
2010-11-05,7.0,10.0,24.0,30.0,35.0,36.0,39.0,3.0,14.066055
2010-11-12,13.0,15.0,17.0,18.0,19.0,47.0,49.0,38.0,22.29231
2010-11-19,4.0,13.0,25.0,29.0,36.0,40.0,48.0,24.0,6.3733053
2010-11-26,12.0,21.0,23.0,27.0,28.0,29.0,37.0,9.0,12.440966
2010-12-03,1.0,10.0,13.0,26.0,43.0,46.0,49.0,31.0,19.907156
2010-12-10,7.0,9.0,12.0,20.0,28.0,38.0,44.0,10.0,28.231377
2010-12-17,1.0,16.0,28.0,29.0,33.0,37.0,47.0,24.0,39.62134
2010-12-24,8.0,23.0,25.0,26.0,33.0,41.0,43.0,21.0,50.0
2010-12-31,2.0,7.0,10.0,22.0,32.0,34.0,38.0,1.0,50.0
2011-01-07,2.0,10.0,13.0,15.0,23.0,28.0,49.0,40.0,22.557436
2011-01-14,2.0,6.0,10.0,12.0,24.0,30.0,37.0,3.0,32.608917
2011-01-21,2.0,18.0,19.0,29.0,42.0,47.0,49.0,17.0,45.699074
2011-01-28,7.0,10.0,14.0,20.0,21.0,23.0,31.0,41.0,50.0
2011-02-04,1.0,3.0,13.0,18.0,19.0,39.0,48.0,40.0,20.785028
2011-02-11,4.0,6.0,13.0,19.0,26.0,29.0,47.0,43.0,30.474201
2011-02-18,3.0,7.0,12.0,16.0,20.0,42.0,48.0,31.0,42.205563
2011-02-25,3.0,14.0,19.0,30.0,32.0,39.0,46.0,8.0,50.0
2011-03-04,3.0,18.0,27.0,29.0,32.0,33.0,35.0,47.0,50.0
2011-03-11,2.0,3.0,4.0,20.0,22.0,40.0,43.0,9.0,50.0
2011-03-18,2.0,5.0,10.0,21.0,25.0,35.0,49.0,40.0,32.202515
2011-03-25,1.0,4.0,22.0,25.0,26.0,36.0,46.0,5.0,44.216503
2011-04-01,5.0,6.0,11.0,12.0,24.0,26.0,34.0,49.0,50.0
2011-04-08,13.0,18.0,25.0,41.0,44.0,48.0,49.0,1.0,50.0
2011-04-15,3.0,12.0,14.0,15.0,25.0,32.0,49.0,37.0,16.666666
2011-04-22,7.0,19.0,34.0,35.0,38.0,42.0,46.0,11.0,33.301693
2011-04-29,1.0,13.0,20.0,24.0,39.0,45.0,47.0,25.0,8.27099
2011-05-06,6.0,19.0,24.0,25.0,26.0,35.0,36.0,23.0,16.325905
2011-05-13,7.0,8.0,14.0,32.0,38.0,42.0,44.0,30.0,25.670816
2011-05-20,7.0,12.0,14.0,18.0,30.0,45.0,47.0,20.0,35.738796
2011-05-27,5.0,9.0,19.0,20.0,21.0,28.0,30.0,36.0,5.0
2011-06-03,8.0,21.0,28.0,32.0,33.0,34.0,48.0,38.0,7.338209
2011-06-10,8.0,11.0,12.0,25.0,28.0,30.0,33.0,16.0,14.62031
2011-06-17,2.0,7.0,14.0,16.0,22.0,27.0,47.0,25.0,22.646019
